element_type,osmid,amenity,building,name,tourism,geometry
node,6224211743,,house,,,POINT (13.252505 -8.8274934)
node,6224211744,,house,,,POINT (13.2525251 -8.8274676)
node,6224211745,,house,,,POINT (13.2525432 -8.827444399999999)
node,6224211746,,house,,,POINT (13.2525982 -8.827355600000001)
node,6224211749,,house,,,POINT (13.252843 -8.827333400000001)
node,6224211750,,house,,,POINT (13.2528711 -8.827357900000001)
node,6224211751,,house,,,POINT (13.2528926 -8.8273838)
node,6224211752,,house,,,POINT (13.2529134 -8.8274116)
node,6224211753,,house,,,POINT (13.2529355 -8.8274414)
node,6224211754,,house,,,POINT (13.2529529 -8.8274706)
node,6224211755,,house,,,POINT (13.2529744 -8.8275203)
node,6224211893,,yes,,,POINT (13.2516655 -8.830773199999999)
node,6224211894,,house,,,POINT (13.2516816 -8.830734700000001)
node,6224211895,,house,,,POINT (13.2513477 -8.8306817)
node,7185068556,restaurant,yes,African Grill,,POINT (13.2339385 -8.9057923)
node,7185068557,restaurant,yes,African Grill,,POINT (13.2337869 -8.9056386)
node,7185068600,,yes,Angola Telecom - Loja do Nova Vida,,POINT (13.2306744 -8.9074677)
node,7185068601,,yes,Empresa Nacional de Distribuição de Electricidade (ENDE) Agência,,POINT (13.2309641 -8.9073312)
node,7185068602,restaurant,yes,,,POINT (13.2306704 -8.906652899999999)
node,7185068603,,yes,hc Lavandaria,,POINT (13.2302989 -8.9075101)
node,7187829654,clinic,yes,,,POINT (13.2294472 -8.902411600000001)
node,7187829714,restaurant,yes,LKB Restaurante,,POINT (13.2241861 -8.9049412)
node,7188155185,driving_school,yes,Automóvel Clube de Angola (ACA),,POINT (13.2291911 -8.9010946)
node,7188155187,,yes,,,POINT (13.2292722 -8.901463)
node,7188155188,,yes,Comité de Acção do Movimento Popular de Libertação de Angola (MPLA) Capitulo 146,,POINT (13.227573 -8.9016737)
node,7188155209,,yes,Halo - Humanitarian Mineclearance,,POINT (13.2311001 -8.905443500000001)
node,7188631941,fast_food,yes,,,POINT (13.231121 -8.9062184)
node,7188631946,,yes,,,POINT (13.2297101 -8.9014811)
node,7188631948,,yes,Imogestin S.A.  - Direicção Central,,POINT (13.227876 -8.8992884)
node,7188631949,,yes,Escritório de Advogados,,POINT (13.2284352 -8.899040599999999)
node,7188631951,,yes,"Arquitectura Engenharia Construções, Lda (ARC)",,POINT (13.2291271 -8.8983571)
node,7188631952,restaurant,yes,Queen's Restaurante,,POINT (13.2273287 -8.898301399999999)
node,7188631962,,yes,Previne/Rentakil,,POINT (13.2275178 -8.9005469)
node,7188631963,restaurant,yes,,,POINT (13.2281159 -8.899974500000001)
node,7188631964,,yes,Vossa Tecnologias,,POINT (13.2283412 -8.900221)
node,7188631965,childcare,yes,Centro Infantil Bravinhos,,POINT (13.2298594 -8.899288200000001)
node,7188631966,ice_cream,yes,Vende-se Gelado Gourmet,,POINT (13.2298138 -8.898479999999999)
node,7188631967,childcare,yes,Centro Infantil Pituchinhos,,POINT (13.231238 -8.9009205)
node,7195151529,,yes,Ministério do Ambiente (MINAMB) Agência de Resíduos,,POINT (13.2221789 -8.917443499999999)
node,7206101999,veterinary,yes,Reinoanimal,,POINT (13.2330262 -8.902726599999999)
node,7207704906,clinic,yes,Centro Médico Cardiozono,,POINT (13.227918 -8.8966703)
node,7207704907,,yes,El Dourado Estudio de Estetica,,POINT (13.2278107 -8.8966929)
node,7207704908,,yes,"Tunaty Cabeleireiro, LDA",,POINT (13.2273252 -8.896957799999999)
node,7207704909,,yes,Rosa Bela Sãlao de Beleza,,POINT (13.2279113 -8.8971619)
node,7499063229,,yes,Edfício 88,,POINT (13.2300854 -8.8286303)
node,8706376151,,yes,Montepio Geral de Angola,,POINT (13.2313276 -8.8134815)
node,9802279207,,yes,Embaixada do Reino de Marrocos,,POINT (13.2384605 -8.8100849)
node,9951664262,,house,,,POINT (13.2265546 -8.9063462)
node,9951664263,,house,,,POINT (13.2263805 -8.9062404)
node,9951664264,,house,,,POINT (13.226279 -8.9061787)
node,9951664265,,house,,,POINT (13.2261018 -8.906071000000001)
node,9951664266,,house,,,POINT (13.2260038 -8.906011400000001)
node,9951664267,,house,,,POINT (13.2258291 -8.905905199999999)
way,37010087,,yes,,,"POLYGON ((13.2450557 -8.8057318, 13.2452842 -8.806094999999999, 13.2458483 -8.805748299999999, 13.2456198 -8.805385100000001, 13.2450557 -8.8057318))"
way,37010089,,yes,Intermarket,,"POLYGON ((13.2419099 -8.8058964, 13.2420887 -8.8061449, 13.2426528 -8.805748299999999, 13.242474 -8.8054998, 13.2419099 -8.8058964))"
way,37010090,,yes,,,"POLYGON ((13.2423506 -8.804957999999999, 13.2422022 -8.805059399999999, 13.2424379 -8.8053966, 13.2425864 -8.805295299999999, 13.2423506 -8.804957999999999))"
way,37010097,,yes,Empresa Nacional de Distribuição de Electricidade (ENDE) Sede,,"POLYGON ((13.2480842 -8.8165657, 13.2479613 -8.817130799999999, 13.2488622 -8.8173221, 13.2489851 -8.8167571, 13.2480842 -8.8165657))"
way,37010115,,yes,,,"POLYGON ((13.2446146 -8.8281977, 13.2447703 -8.8282913, 13.2444941 -8.828739499999999, 13.2443384 -8.8286458, 13.2446146 -8.8281977))"
way,37010116,,yes,,,"POLYGON ((13.2437403 -8.8284418, 13.2446492 -8.8289919, 13.2445827 -8.829099100000001, 13.2443292 -8.828945600000001, 13.2441827 -8.8291819, 13.2446768 -8.8294809, 13.2447366 -8.8293844, 13.244838 -8.8294459, 13.2447733 -8.829550299999999, 13.2449657 -8.829666700000001, 13.2448997 -8.829773299999999, 13.2441763 -8.829335499999999, 13.2441023 -8.829454999999999, 13.2442768 -8.829560600000001, 13.2442216 -8.8296496, 13.2436968 -8.829332000000001, 13.2437468 -8.8292512, 13.2439734 -8.829388399999999, 13.2440582 -8.829251599999999, 13.2439765 -8.8292021, 13.2439653 -8.8292202, 13.2438226 -8.829133799999999, 13.2438367 -8.8291112, 13.2436302 -8.8289863, 13.2436833 -8.828900600000001, 13.2438962 -8.8290294, 13.2439157 -8.828997899999999, 13.2440726 -8.8290928, 13.2442087 -8.8288732, 13.2436737 -8.8285494, 13.2437403 -8.8284418))"
way,37010124,,yes,Pavilhão da Cidadela,,"POLYGON ((13.2551852 -8.8255938, 13.2557241 -8.8258508, 13.2554096 -8.826494800000001, 13.2548707 -8.826237799999999, 13.2551852 -8.8255938))"
