element_type,osmid,amenity,building,name,tourism,geometry
way,97807727,,tank,,,"POLYGON ((29.6796184 31.045336, 29.6795444 31.0454666, 29.679527 31.0456109, 29.6795683 31.0457517, 29.6796633 31.0458718, 29.6798005 31.0459569, 29.6799665 31.0459969, 29.6801353 31.0459856, 29.6802895 31.0459255, 29.6804104 31.0458238, 29.6804834 31.0456929, 29.6804918 31.0454995, 29.6804305 31.0453642, 29.6803188 31.0452551, 29.6801703 31.0451853, 29.6800029 31.0451632, 29.6798368 31.0451915, 29.6796919 31.0452668, 29.6796184 31.045336))"
way,97807728,,tank,,,"POLYGON ((29.6810848 31.0462825, 29.6810399 31.0464174, 29.6810515 31.0465573, 29.6811183 31.0466853, 29.6812322 31.0467861, 29.6813794 31.0468475, 29.6814769 31.046862, 29.6816397 31.0468471, 29.6817867 31.0467853, 29.6819002 31.0466842, 29.6819505 31.0466001, 29.6819802 31.0464622, 29.681953 31.0463239, 29.6818722 31.0462018, 29.6817476 31.0461109, 29.6815838 31.0460603, 29.6814201 31.0460624, 29.6812671 31.0461123, 29.6811432 31.0462041, 29.6810848 31.0462825))"
way,97807729,,tank,,,"POLYGON ((29.6765525 31.0456499, 29.6764478 31.0457617, 29.676394 31.0458975, 29.6763976 31.046041, 29.6764582 31.0461749, 29.6765687 31.046283, 29.6766939 31.0463453, 29.6768585 31.0463741, 29.6770247 31.0463528, 29.6771724 31.046284, 29.6772836 31.0461759, 29.6773447 31.0460418, 29.6773536 31.04594, 29.6773162 31.0457998, 29.6772252 31.0456792, 29.6770917 31.0455925, 29.6769317 31.0455501, 29.6767646 31.0455571, 29.6765525 31.0456499))"
way,97807730,,tank,,,"POLYGON ((29.6778997 31.0497573, 29.6779076 31.0498933, 29.6779694 31.0500187, 29.6780774 31.0501185, 29.6782188 31.0501805, 29.6783528 31.050198, 29.6785093 31.0501746, 29.6786471 31.0501067, 29.6787494 31.0500026, 29.6787925 31.0499168, 29.6788102 31.0497815, 29.6787729 31.0496492, 29.678685 31.0495358, 29.6785571 31.049455, 29.6784181 31.049418, 29.6782594 31.0494225, 29.6781119 31.0494733, 29.6779937 31.0495642, 29.6779188 31.0496842, 29.6778997 31.0497573))"
way,97807731,,tank,,,"POLYGON ((29.6768333 31.0567481, 29.6768455 31.0568886, 29.6769131 31.057017, 29.6770279 31.0571179, 29.677176 31.0571791, 29.6773223 31.057194, 29.6774831 31.0571643, 29.6776223 31.0570893, 29.6777232 31.056978, 29.677775 31.0568336, 29.6777646 31.056693, 29.6776987 31.0565639, 29.6775852 31.056462, 29.6774378 31.0563994, 29.6773224 31.0563833, 29.6771595 31.0564025, 29.6770141 31.0564682, 29.6769036 31.0565726, 29.6768333 31.0567481))"
way,97807732,,tank,,,"POLYGON ((29.679555 31.0508556, 29.6795205 31.0509923, 29.6795428 31.0511309, 29.679619 31.0512547, 29.6797401 31.0513486, 29.6798913 31.0514014, 29.679974 31.0514102, 29.6801357 31.0513907, 29.6802799 31.051325, 29.6803892 31.0512211, 29.6804547 31.0510713, 29.6804522 31.0509314, 29.6803939 31.0508007, 29.680287 31.050695, 29.6801443 31.0506269, 29.6800524 31.0506083, 29.6798893 31.0506142, 29.6797383 31.0506675, 29.6796178 31.0507619, 29.679555 31.0508556))"
way,97807733,,tank,,,"POLYGON ((29.6774799 31.053027, 29.6774878 31.0531644, 29.6775502 31.0532912, 29.6776594 31.0533921, 29.6778023 31.0534549, 29.6779451 31.0534725, 29.6781029 31.0534467, 29.6782409 31.0533763, 29.6783424 31.0532697, 29.678393 31.0531506, 29.6783952 31.053013, 29.6783424 31.0528831, 29.6782408 31.0527765, 29.6781029 31.052706, 29.6779966 31.0526833, 29.6778362 31.0526901, 29.6776881 31.0527434, 29.6775703 31.0528369, 29.6774969 31.0529593, 29.6774799 31.053027))"
way,97807734,,tank,,,"POLYGON ((29.6783611 31.0464727, 29.6782973 31.046541, 29.6782647 31.0466238, 29.6782671 31.0467112, 29.6783043 31.0467927, 29.6783906 31.0468702, 29.6784838 31.0469058, 29.6785856 31.0469121, 29.6786837 31.0468881, 29.6787782 31.0468257, 29.6788302 31.0467505, 29.6788491 31.0466646, 29.6788325 31.0465783, 29.6787718 31.0464914, 29.6786908 31.0464382, 29.6785934 31.046412, 29.6784915 31.0464159, 29.6783611 31.0464727))"
way,97807735,,tank,,,"POLYGON ((29.6746582 31.0471447, 29.6746024 31.0472744, 29.6746017 31.0474126, 29.6746562 31.0475426, 29.6747594 31.0476489, 29.6748988 31.0477185, 29.6750091 31.0477407, 29.67517 31.0477316, 29.6753177 31.0476759, 29.6754341 31.0475803, 29.675502 31.0474658, 29.6755235 31.0473288, 29.675489 31.0471938, 29.6754027 31.0470771, 29.6752239 31.0469729, 29.6750654 31.0469472, 29.6749062 31.0469695, 29.6747655 31.047037, 29.6746582 31.0471447))"
way,97807736,,tank,,,"POLYGON ((29.6779745 31.0556168, 29.677983 31.0557576, 29.6780472 31.0558874, 29.6781594 31.0559905, 29.678306 31.0560546, 29.6784171 31.0560717, 29.6785805 31.0560554, 29.6787276 31.0559922, 29.6788406 31.0558897, 29.6788968 31.0557885, 29.6789182 31.0556488, 29.6788826 31.0555111, 29.6787941 31.0553922, 29.6786636 31.0553064, 29.6784989 31.0552632, 29.6783347 31.0552717, 29.6781837 31.0553278, 29.6780642 31.0554247, 29.6779745 31.0556168))"
