ET_ID,LINKNO,ROADNO,STARTKM,ENDKM,LENGTHKM,STARTDESC,ENDDESC,CLASS,REGION,WIDTH,LANES,SURFTYPE,CONDITION,AADT,PAVEMTYPE,COMMENT,geometry
,295-17,EN295,0.0,5.0,5.0,Dirico,Mucusso,Primary,CUANDO CUBANGO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"MULTILINESTRING ((20.730438020401838 -17.95765968217326, 20.74776616619419 -17.947400542335387, 20.76269773990562 -17.92714269302339), (20.76269773990562 -17.92714269302339, 20.76269845823948 -17.927141718232786), (20.76269773990562 -17.92714269302339, 20.854186369280182 -17.939761825149848, 20.914129859039065 -17.938184366070278, 20.95672128683925 -17.939761828829006, 21.019819700033185 -17.93029706356443, 21.06872097153288 -17.91452245280141, 21.111312401849467 -17.920832299216855, 21.14128414941083 -17.93029706767683, 21.205960026492082 -17.968156139622575, 21.261171142521736 -17.98866313753146, 21.305340036026404 -18.00917013505426, 21.3211146408423 -18.024944747958536), (20.762693677810542 -17.927142131785704, 20.76269773990562 -17.92714269302339))"
,295-14,EN295,0.0,116.35,116.35,Savate,Cuangar,Primary,CUANDO CUBANGO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (18.578142970702967 -17.56453989888041, 18.55737631869503 -17.536356545704837, 18.52154932175588 -17.524414195753558, 18.500650240897944 -17.500529497124006, 18.47377999471462 -17.461716862013684, 18.44392416619124 -17.42887540133553, 18.42302508676737 -17.399019528139544, 18.393169259704013 -17.3542357183628, 18.378241346263376 -17.345278956165803, 18.348385519739722 -17.34229336810795, 18.330472024435835 -17.324379844023102, 18.30957294689682 -17.306466319853282, 18.294645034960578 -17.27063927221464, 18.27971712334026 -17.228841050024883, 18.255832464637344 -17.19599958938689, 18.222991059525803 -17.166143715755066, 18.205077566332655 -17.14524460434456, 18.178207327195448 -17.109417556303914, 18.160293834880157 -17.082547270324667, 18.139394760883388 -17.052691396974012, 18.11849568743633 -17.01686434905838, 18.097596614555243 -16.975066126573832, 18.082668705760547 -16.93923907880554, 18.061769633541456 -16.903412030843622, 18.016985907969477 -16.867584982129223, 17.94831753262387 -16.81981558352454, 17.929603143792562 -16.794863014964502)"
,295-18,EN295,0.0,285.32,285.32,Mucusso,Luiana (Faltou ?),Primary,CUANDO CUBANGO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (21.321114362853493 -18.02494477566838, 21.345065575587824 -18.04530001512553, 21.365583857777747 -18.062398587893362, 21.38268242636147 -18.072657731623035, 21.394651424352805 -18.08462673252083, 21.42029927736758 -18.10001544810795, 21.437397846086427 -18.111984449075415, 21.46304569929059 -18.125663307407773, 21.48698369577537 -18.13079287948309, 21.505792121681264 -18.130792879746686, 21.517761120181763 -18.1119844502135, 21.52289069108717 -18.09146616333996, 21.539989260488827 -18.05726901867111, 21.55366811596159 -18.03846058916324, 21.582735683748485 -18.017942302622878, 21.61693282234192 -18.007683159620292, 21.669938387480794 -17.99058458788459, 21.704135526391298 -17.988874731092313, 21.740042522437193 -17.9837451598266, 21.777659375636727 -17.97519587408716, 21.82382551384194 -17.97006630293678, 21.85973251042139 -17.96322687440513, 21.892219793117075 -17.963226874802274, 21.924707076001738 -17.95467758897336, 21.962323929987253 -17.947838160444018, 21.994811213076744 -17.944418446336044, 22.03242806734105 -17.93757901779378, 22.061495636616502 -17.935869160879637, 22.09056320604223 -17.925610017743022, 22.128180060614355 -17.9256100181577, 22.15211805910067 -17.918770589443792, 22.184605342815303 -17.913641018061988, 22.21709262663924 -17.90680158943182, 22.252999624642282 -17.90167201807534, 22.29745590803181 -17.896542446799224, 22.33678262041729 -17.88970301821988, 22.384658618277285 -17.88115373247335, 22.42398533094087 -17.874314303878393, 22.45818247246856 -17.870894589714386, 22.504348613707858 -17.860635446683272, 22.53683589837479 -17.85379601800611, 22.572742897289665 -17.84866644659721, 22.615489324691104 -17.841827017999087, 22.651396323831058 -17.8315678748503, 22.700982179871396 -17.82643830353686, 22.74201875050206 -17.823018589386486, 22.771086321376956 -17.829858018588368, 22.78647503538273 -17.834987590436867, 22.81571729570726 -17.836697447907085, 22.844784866769665 -17.833277733645435, 22.870432723641073 -17.828148162112484, 22.892660866269384 -17.82814816227824, 22.918308723120607 -17.84011716316214, 22.94053686573901 -17.853796021260496, 22.986703008272855 -17.865765022283025, 23.01235086527668 -17.87431430867161, 23.03628886521701 -17.87431430883548, 23.067066293770356 -17.870894594558827, 23.091004293823875 -17.860635451265704, 23.11665215104224 -17.852086165223778, 23.130331008185422 -17.858925594280134, 23.157688722576815 -17.85550587997121, 23.17991686556304 -17.848666451143732, 23.20214500853321 -17.850376308523956, 23.214114008584886 -17.855505880323282, 23.231212580160168 -17.848666451460264, 23.24318158038981 -17.81617916393794, 23.250021009140244 -17.787111590868296, 23.261990009370336 -17.756334160587887, 23.263699866668365 -17.72384687300405, 23.255150580982153 -17.701618728809056, 23.217533723689453 -17.67597086995081, 23.185046437893064 -17.65545258284455, 23.152559152140405 -17.636644152975492, 23.118362009262107 -17.62467515205802, 23.08758458071045 -17.61612586564252, 23.06193672363619 -17.605866722016238, 23.03799872374334 -17.59389772115695, 23.02431986673683 -17.57508929139937, 23.01748043828639 -17.55628086168923, 22.995252295632678 -17.535762574626844, 22.97302415298061 -17.52037385928798, 22.95592558172994 -17.50840485846855, 22.945666439023075 -17.494726000456378, 22.930277724966068 -17.475917570679048, 22.91659886802233 -17.462238712639547)"
,220-04,EN220,0.0,13.63,13.63,Gombe,Quixico,Primary,BENGO,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day,"LINESTRING (14.206383798851279 -7.9938929837304045, 14.221772514018964 -7.983633840285282, 14.237161229186647 -7.964825410635889, 14.254259801595186 -7.964825410635889, 14.27819780296714 -7.968245125117597, 14.290166803653117 -7.971664839599304, 14.305273620516711 -7.9855981923586565)"
,220-03,EN220,0.0,12.8,12.8,Nambuangongo,Gombe,Primary,BENGO,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day,"LINESTRING (14.10467529296875 -8.031494140625, 14.131150080253711 -8.02809012854748, 14.146538795421394 -8.021250699584066, 14.16705708231164 -8.00928169889809, 14.18928522644274 -7.997312698212112, 14.206383798851279 -7.9938929837304045)"
,100-26,EN100,0.0,100.51,100.51,BENTIABA,NAMIBE,Primary,NAMIBE,6.0,2,Paved,Good,173,Paved,,"LINESTRING (12.371552058835968 -15.037932885377666, 12.366965573722972 -14.98661628269858, 12.374909148675597 -14.956827876626233, 12.390796298580849 -14.940940726720983, 12.422570598391353 -14.91512410812495, 12.444415429511073 -14.869448552147352, 12.452359004463698 -14.819801208693441, 12.464274366892637 -14.797956377573719, 12.515907604084704 -14.76419618402506, 12.537752435204425 -14.728450096738245, 12.537752435204425 -14.706605265618524, 12.5298088602518 -14.68078864702249, 12.539738328942581 -14.651000240950143, 12.537752435204425 -14.617240047401484, 12.46824615436895 -14.434537823491093, 12.452359004463698 -14.416664779847684, 12.430514173343978 -14.404749417418746, 12.426542385867664 -14.388862267513494, 12.424556492129508 -14.376946905084555, 12.414627023438726 -14.361059755179305, 12.410655235962414 -14.351130286488521, 12.4066834484861 -14.34120081779774, 12.394768086057162 -14.32531366789249, 12.38483861736638 -14.303468836772767, 12.383344564069107 -14.290022357097302)"
,100-25,EN100,0.0,66.06,66.06,LUCIRA,BENTIABA,Primary,NAMIBE,6.0,2,Paved,Good,81,Paved,,"LINESTRING (12.383344564069107 -14.290022357097302, 12.380866829890067 -14.267722749485952, 12.402711661009787 -14.233962555937293, 12.410655235962414 -14.206160043603102, 12.388810404842692 -14.098921781742655, 12.416612917176883 -14.055232119503213, 12.432500067082135 -14.011542457263772, 12.46228847315448 -14.01750013847824, 12.494062772964984 -14.021471925954554, 12.519879391561018 -14.009556563525615, 12.537752435204425 -13.977782263715113, 12.541000948709241 -13.921916419760645, 12.55916330012864 -13.905267597626196, 12.56219035869854 -13.878024070497096, 12.56219035869854 -13.847753484798096)"
,100-19,EN100,0.0,6.49,6.49,CANJALA,BALABAIA,Primary,BENGUELA,7.0,2,Paved,Good,806,Paved,,"LINESTRING (13.93885201455909 -12.022988875240229, 13.950716858153573 -11.991843660804712, 13.952199963602885 -11.969597079065055)"
,100-18,EN100,0.0,29.71,29.71,RIO E VALE,CANJALA,Primary,BENGUELA,7.0,2,Paved,Good,806,Paved,,"LINESTRING (13.952227939457785 -11.969596481916193, 13.94184634346271 -11.954765425650043, 13.934430919363564 -11.939934369372384, 13.940363270192801 -11.911755362398637, 13.928498592000304 -11.888025672352029, 13.912184656072009 -11.871711510454, 13.904769234244515 -11.85391424291441, 13.909218508694346 -11.79310691219891, 13.909218517260305 -11.764927905331781, 13.901803100316389 -11.732299581569125)"
,165-01,EN165,0.0,31.52,31.52,CATOLO,CATCHINGA,Primary,LUNDA NORTE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (17.60087841850936 -8.385005272694775, 17.5929683493837 -8.357759395149294, 17.582421590073864 -8.326119021089005, 17.56572255307036 -8.289205250901121, 17.559570277528447 -8.267232769041758, 17.55869138275555 -8.251412582473689, 17.55693359536738 -8.203952022868998, 17.54814462954784 -8.179342843001518, 17.539355662889577 -8.161764857121886, 17.54023456171403 -8.147702469242866, 17.5507813279462 -8.123093291391475)"
