ET_ID,LINKNO,ROADNO,STARTKM,ENDKM,LENGTHKM,STARTDESC,ENDDESC,CLASS,REGION,WIDTH,LANES,SURFTYPE,CONDITION,AADT,PAVEMTYPE,COMMENT,geometry
,210-02,EN210,0.0,44.24,44.24,CASA DA TELHA,TOMBOCO,Primary,ZAIRE,7.9,2,Paved,Good,415,Paved,,"LINESTRING (12.965945581671459 -7.041666075978403, 13.022075298954517 -6.992551618850339, 13.066511337145991 -6.962147432868435, 13.101592424636383 -6.9481147340674925, 13.131996043731727 -6.9317432505434935, 13.150705980972662 -6.896661492679901, 13.183448356632475 -6.870934873483256, 13.216190733397656 -6.856902174670277, 13.237239409768407 -6.845208257985917, 13.255949351614145 -6.826497988780846, 13.2606268387592 -6.819481637435741)"
,100-10,EN100,0.0,113.3,113.3,BRIDGE FREITAS MORNA,CAXITO,Primary,BENGO,7.0,2,Paved,Good,185,Paved,,"LINESTRING (13.59030560021181 -8.58441075794911, 13.572910864447227 -8.565001575378949, 13.562351968595543 -8.528197374070594, 13.544713106695147 -8.494872175681662, 13.523717361058894 -8.473876078529264, 13.481725867781222 -8.452818943140507, 13.437720261836695 -8.428282803591786, 13.408118719016722 -8.4089956896994, 13.393958812439022 -8.391417562435802, 13.39395883139936 -8.356383382285115, 13.385108907510089 -8.314208087544069, 13.367714226386747 -8.240599685852361, 13.350136433000962 -8.189696362568037, 13.350136451367536 -8.156310131876426, 13.344948574404398 -8.117796947312998, 13.32035187423591 -8.049376533264315, 13.292337269827883 -7.982726138366721, 13.262369562903963 -7.949400938606709, 13.234354961195647 -7.900206598562847, 13.225566068987815 -7.8826895074480525, 13.225566084958414 -7.854674370775613, 13.241312894256106 -7.80908111155097, 13.24131291323223 -7.775694881258704, 13.241312927146712 -7.7512197837607655)"
,220-01,EN220,0.0,81.52,81.52,Ambriz,Bela Vista,Primary,BENGO,5.5,2,Unpaved,Fair,75,Gravel,2 assumptions made: Based on map information road is gravel and traffic assumed a maximum of 75 cars/day,"LINESTRING (13.7307457308967 -7.830809707643678, 13.696749649503888 -7.8496085295023175, 13.633762324397493 -7.864806272264613, 13.552159603793461 -7.869994246603169, 13.473913808129533 -7.868285249260117, 13.422950311639053 -7.854674401251729, 13.385536399259436 -7.851195391387619, 13.332924995581235 -7.869994211151622, 13.281717404236735 -7.871703187692571, 13.225566084958414 -7.854674370775613, 13.183513641528759 -7.847594286541556, 13.158916933047683 -7.847594283026424, 13.09055885170592 -7.859923375125748, 13.050154361880093 -7.863402373656281)"
,100-08,EN100,0.0,51.58,51.58,N'ZETO,MUSSERRA,Primary,ZAIRE,7.0,2,Paved,Good,185,Paved,,"LINESTRING (12.97150629518783 -7.636426183929311, 12.951912808308368 -7.624900362396254, 12.943142562080423 -7.600343127740603, 12.934372317611983 -7.574031804998955, 12.930864237217966 -7.535441866245537, 12.915077790851894 -7.502114190234724, 12.888767042365771 -7.461770160493682, 12.88525895816188 -7.431950662364408, 12.878242778175885 -7.391606635241179, 12.857194184280425 -7.361787134894133, 12.816851051774343 -7.3126726631024095, 12.794048417073697 -7.286361338837608, 12.788201604310414 -7.254495404467737)"
,110-03,EN110,0.0,21.02,21.02,CATETE,CABALA,Primary,BENGO,7.9,2,Paved,Good,350,Paved,,"LINESTRING (13.702648452544794 -9.284267848298828, 13.699140335356194 -9.270235142419494, 13.67984566614283 -9.247431993584966, 13.655288817457965 -9.21936657954532, 13.639502273714978 -9.201825695723546, 13.630731976171944 -9.184284812819019, 13.627223863344394 -9.164989842428538, 13.632486064109195 -9.129908079640904)"
,110-02,EN110,0.0,36.9,36.9,FUNDA,CATETE,Primary,BENGO,7.9,2,Paved,Good,900,Paved,,"LINESTRING (13.632486064109195 -9.129908079640904, 13.632486092692991 -9.072023170009917, 13.632486101376246 -9.054482288328677, 13.625469863805026 -9.040449582039985, 13.607929258231373 -9.031679138836285, 13.58688053594006 -9.017646430674365, 13.579864303173276 -8.998351459890815, 13.56933994628383 -8.986072841314726, 13.555307465970579 -8.98081057494897, 13.54829122941464 -8.972040133181325, 13.536012817370072 -8.954499249882865, 13.523734403679905 -8.942220631093965, 13.51321004810912 -8.935204277044232, 13.504439751170459 -8.93169609956462, 13.502685698699523 -8.917663393991434, 13.500931650779195 -8.894860247591694, 13.493915421406802 -8.877319365011603)"
,100-11,EN100,0.0,60.23,60.23,CAXITO,LUANDA,Primary,LUANDA,7.0,2,Paved,Good,2137,Paved,,"LINESTRING (13.17832518383151 -8.843993232162225, 13.213358733446134 -8.819396066805929, 13.23252342902166 -8.810607006022702, 13.243143356246788 -8.80712800314685, 13.267740082963726 -8.807128005891027, 13.293923700066838 -8.807128008883232, 13.316750448100558 -8.80541902711628, 13.344948218459864 -8.770323814508817, 13.360756070046667 -8.735228600556903, 13.371131877906377 -8.717711511520791, 13.404517551586139 -8.696593351202452, 13.436133242686566 -8.675597261136353, 13.48331266158083 -8.631774024479231, 13.493932612604416 -8.617674904605751, 13.513341478838225 -8.614195903400368, 13.539525141279924 -8.610716903212134, 13.567722941882414 -8.596678821178365, 13.59030560021181 -8.58441075794911)"
,225-01,EN225,0.0,4.57,4.57,Caxito (Prox.),Sassa,Primary,BENGO,7.9,2,Paved,Good,200,Paved,2 assumptions made: Based on map information road is paved and traffic assumed a maximum of 200 cars/day,"MULTILINESTRING ((13.590449012096284 -8.584346212675383, 13.629039131271377 -8.577332134125115), (13.62951011002911 -8.577228970963874, 13.646585595223977 -8.56860095120868))"
,120-11,EN120,0.0,25.53,25.53,VISTA ALEGRE,PONTE DO SANGUE,Primary,UIGE,8.0,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (14.563895280233519 -8.426518894837923, 14.607747040978381 -8.394945317236395, 14.663877302479882 -8.365125830044828, 14.712991293504883 -8.335306341603227, 14.741056442453147 -8.30022458504907)"
,220-11,EN220,0.0,31.24,31.24,U¡ge,Negage,Primary,UIGE,5.5,2,Unpaved,Poor,20,Track,2 assumptions made: Based on map information road is a track and traffic assumed a maximum of 20 cars/day,"LINESTRING (15.005921552657098 -7.617884373697008, 15.026970438318138 -7.584556704403958, 15.04626524353743 -7.577540355691541, 15.06731412093574 -7.577540359530587, 15.084854847496452 -7.595081243325334, 15.10064149892262 -7.621392567107664, 15.128706668519479 -7.64068754087239, 15.155017760994276 -7.6792774830039585, 15.19185330050778 -7.716113338974815)"
,140-05,EN140,0.0,36.48,36.48,BUNGO,NEGAGE,Primary,UIGE,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (15.19185330050778 -7.716113338974815, 15.214656281970356 -7.658228436962829, 15.228688887079823 -7.621392590161661, 15.228688898811185 -7.584556740873634, 15.251491871503656 -7.561753600147773, 15.267278549738405 -7.533688193991332, 15.274294855743449 -7.5073768743452485, 15.304114130674327 -7.48281964678904, 15.332179330959516 -7.467032859195816, 15.340949708274588 -7.456508332383364)"
,220-14,EN220,0.0,35.41,35.41,Alfndega,Sanza Pombo,Primary,UIGE,7.9,2,Paved,Good,200,Paved,2 assumptions made: Based on map information road is paved and traffic assumed a maximum of 200 cars/day,"LINESTRING (15.800517626286892 -7.540704636739645, 15.839107346248788 -7.474049296529564, 15.886467451069672 -7.435459366677012, 15.911024544951035 -7.414410313795699, 15.91804086106592 -7.395115346210273, 15.918040866728797 -7.372312201403686, 15.930319417433683 -7.349509058521422, 15.968909141122051 -7.316181391345887, 15.980064973028028 -7.305025500438825)"
,140-06,EN140,0.0,59.54,59.54,NEGAGE,CAMABATELA,Primary,UIGE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (15.325162803795376 -8.2019957585279, 15.3251628125733 -8.173930349280392, 15.32516282408907 -8.1370944996623, 15.32516283176268 -8.112537266595666, 15.316392466324741 -8.084471855838412, 15.302359871995987 -8.072193236830168, 15.300605801686885 -8.058160531923091, 15.29534359305532 -8.00904606492819, 15.291835456435818 -7.968702038641177, 15.263770283444316 -7.905554863099359, 15.228688822034563 -7.824866805671901, 15.19185330050778 -7.716113338974815)"
,120-22,EN120,0.0,113.67,113.67,WAKO-KUNGO,ALTO HAMA,Primary,CUANZA SUL,7.0,2,Paved,Good,1029,Paved,,"LINESTRING (15.516491198840379 -12.1925008178479, 15.502332353387445 -12.150390148121788, 15.47608741818718 -12.122375007255746, 15.414686472158703 -12.115294922113964, 15.400709520559378 -12.106505857683775, 15.379530472593641 -12.094298823560564, 15.351515550030019 -12.027587391522218, 15.32691857484789 -11.959228010545422, 15.323500636270927 -11.936400860645152, 15.325087543908394 -11.915404766085237, 15.328688596766451 -11.896117656218156, 15.33393758575006 -11.882079570228948, 15.333937589596118 -11.866210428878622, 15.333937594270347 -11.846984353787601, 15.332289659920212 -11.834716286638535, 15.328688613836672 -11.825927223327868, 15.328688619853773 -11.801391089418235, 15.325087580765889 -11.764525852993843, 15.307692699021816 -11.71887155207207, 15.290114712543344 -11.680297329556904, 15.281325725090278 -11.640014123642061, 15.26911879059177 -11.615477988307576, 15.237502821791463 -11.594420854679244, 15.214736884742868 -11.580382765386265, 15.200698912577609 -11.555785594645688, 15.190139918683112 -11.529479439872409, 15.188491991957786 -11.49267523885879, 15.183120949096542 -11.457580021856083, 15.158523979620025 -11.431212830193097, 15.115128340604135 -11.37957708041352)"
,120-19,EN120,0.0,85.23,85.23,ALTO DONDO,LUCUSSO,Primary,CUANZA SUL,7.0,2,Paved,Good,1029,Paved,,"LINESTRING (14.764545803437732 -10.229308436200007, 14.763935464733908 -10.208678552724649, 14.748127523324136 -10.166503256218437, 14.71132368351789 -10.145507156320095, 14.637716012717362 -10.127990054891548, 14.595541151944618 -10.10510186431546, 14.560507343890425 -10.068297658768675, 14.546347344330327 -10.040282519099824, 14.539328385347078 -10.010375290607417, 14.534140464808626 -9.973571089552427, 14.535910475023657 -9.949095991482357, 14.555136358176707 -9.926207810208236, 14.565695339082879 -9.905211717538, 14.56209431246192 -9.877074509241123, 14.544699481561008 -9.854308392697451, 14.50069360965714 -9.817504185740535, 14.484946714851832 -9.796386018710132, 14.474509828905024 -9.759581816963536, 14.465720873012819 -9.728026639053901, 14.430503990434493 -9.675414327617727)"
,230-02,EN230,0.0,46.45,46.45,Viana,Catete,Primary,LUANDA,7.9,2,Paved,Good,5523,Paved,,"LINESTRING (13.632540998514873 -9.129881968413907, 13.597507362227672 -9.12640295980138, 13.572910580170083 -9.12457190188646, 13.550144831981774 -9.114073851744834, 13.504552326971107 -9.063170523870365, 13.4045173941397 -8.994811134196324, 13.302712544224246 -8.92468172526149)"
,100-14,EN100,0.0,99.96,99.96,CABO LEDO,RIO LONGA,Primary,BENGO,7.0,2,Paved,Good,900,Paved,,"LINESTRING (13.593896143825429 -10.364786180389613, 13.558814949403436 -10.317425795137515, 13.530749994775302 -10.291114469503745, 13.50970127741726 -10.282344026962932, 13.490406633768982 -10.249016348820623, 13.469357934056388 -10.21393458232697, 13.448309234312834 -10.185869168911333, 13.443047065483391 -10.166574197699957, 13.443047080780367 -10.133246520684937, 13.443047098587362 -10.094656578938883, 13.443047105900952 -10.078869784607019, 13.425506526674747 -10.054312547921814, 13.399195666115055 -10.008706251622925, 13.381655094126636 -9.980640838449833, 13.37814698735178 -9.959591779151491, 13.372884832473892 -9.917493660698785, 13.365868612942208 -9.889428248204817, 13.355344273381284 -9.870133276763898, 13.343065874154295 -9.856100569976077, 13.334295586490157 -9.852592392929587, 13.316755015384322 -9.840313774094215, 13.299214450823824 -9.8192647140043, 13.274657654896886 -9.808740183070277, 13.248346812743234 -9.785937034290964, 13.223790042748385 -9.74208482654424, 13.20800354574319 -9.72278985488759, 13.200987330017572 -9.705248971949702, 13.202741397733192 -9.682445824711015, 13.213265747410537 -9.657888589742027)"
,100-12,EN100,0.0,72.34,72.34,LUANDA,BARRA DO KWANZA,Primary,LUANDA,7.0,2,Paved,Good,7506,Paved,,"LINESTRING (13.08346582250659 -9.328119992007817, 13.032598295635003 -9.249186018299726, 12.974714581126776 -9.164989779672625, 12.96243622383943 -9.142186631930434, 12.96068218096829 -9.124645749472121, 12.96594435025235 -9.105350779182556, 12.990501109073714 -9.075531280715033, 13.018565979651042 -9.045711782717737, 13.036106539068037 -9.00536775491191, 13.051893032994235 -8.989580962156666, 13.071187627462137 -8.991335051868672, 13.085220062330633 -8.991335052990614, 13.101006570973293 -8.959761466552875, 13.120301202979535 -8.90713882215872, 13.143103938279314 -8.872057060332013, 13.178185062522575 -8.843991652704151)"
,120-18,EN120,0.0,61.02,61.02,N'DALATANDO,ALTO DONDO,Primary,CUANZA NORTE,7.0,2,Paved,Good,718,Paved,,"LINESTRING (14.430585513275522 -9.675429615698985, 14.45111999171712 -9.648218228549963, 14.522487391351277 -9.59520190540851, 14.620362721793194 -9.513638330130261, 14.677456683735107 -9.464700185036985, 14.708042748690003 -9.415762035680185, 14.746785098114609 -9.366823887842651, 14.789605592323635 -9.324003010132776, 14.807892329114663 -9.315773905965882)"
,230-09,EN230,0.0,62.07,62.07,Cacuso,Lombe,Primary,MALANJE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (15.61079948880731 -9.418314357745038, 15.643977476896898 -9.41576219378933, 15.676602701822786 -9.425957647840105, 15.747970399828732 -9.419840390204365, 15.805064561723603 -9.440231296815787, 15.85808057961387 -9.450426753989126, 15.90905751756259 -9.497325826115405, 15.947800000105776 -9.513638550134331, 16.006933275200915 -9.519755828570936, 16.066066559619518 -9.523834017175774, 16.10073090725311 -9.5075213045607, 16.11908262027452 -9.50548221761874)"
,230-16,EN230,0.0,78.21,78.21,Xandel,Xamuteba,Primary,LUNDA NORTE,7.9,2,Paved,Good,500,Paved,,"LINESTRING (17.175298722716732 -9.39331025454527, 17.207891393623154 -9.401488969301075, 17.248723786384048 -9.415710165411598, 17.28607718982511 -9.418700892400299, 17.299687989301184 -9.419799526779924, 17.37732448324236 -9.423888891087314, 17.41608169692774 -9.436095926599414, 17.489323677602588 -9.48510716480512, 17.53833477536994 -9.507507072310093, 17.5770919954677 -9.536010494234302, 17.609684685361415 -9.542175048427367, 17.642277375262367 -9.558410403300872, 17.66888863661334 -9.568603277094105, 17.709476919575273 -9.552306894658035, 17.725895338803454 -9.542175060461481, 17.75452075884696 -9.54827857894383, 17.766727761632023 -9.548278580171566, 17.78711345823044 -9.536010515885858, 17.80553489664997 -9.521302750337716)"
,165-03,EN165,0.0,61.09,61.09,LUREMO,CUANGO,Primary,LUNDA NORTE,7.9,2,Paved,Good,182,Paved,8KM TRACK - Condition Poor,"LINESTRING (18.04067167416553 -9.15041454777806, 18.050434587882602 -9.117220587501413, 18.056292335879952 -9.099647314476195, 18.056292337863606 -9.082074040921349, 18.042624269229723 -9.03521197687665, 18.0250510396476 -8.964918881088597, 18.015288135630275 -8.916104231468829, 18.021145884936832 -8.884862856821929, 18.02505105322519 -8.845811138205809, 18.025051055669756 -8.824332692774156, 18.01724072981094 -8.808712004479093, 17.974283932608277 -8.777470625378669, 17.95475811770895 -8.752087006255929, 17.927421978047267 -8.713035284769196, 17.909848748489615 -8.6661732204057)"
,230-19,EN230,0.0,92.96,92.96,Capenda Camulemba,Xinge,Primary,LUNDA NORTE,7.9,2,Paved,Good,200,Paved,Assumed a minimum of 200 cars for all paved roads with no traffic information available.,"LINESTRING (18.445681518224788 -9.428588700469525, 18.46930208513402 -9.428588702337688, 18.490908494859344 -9.43640120398512, 18.545901081376936 -9.4619749385566, 18.583315572892896 -9.47967513661339, 18.62848151818517 -9.505187835167213, 18.673525394371048 -9.538513033618408, 18.7149071682151 -9.570007177079956, 18.77368393914954 -9.59948716158627, 18.805117000679914 -9.613220073876695, 18.83850318742509 -9.601379255934843, 18.856081289367353 -9.599487167305371, 18.891481633606844 -9.603393419687762, 18.934694467364775 -9.626891957618177, 18.968080653371146 -9.664184440110839, 18.99951371844906 -9.68981920766429, 19.042726555845903 -9.709411495505545, 19.08209418354564 -9.736877318184321, 19.121278705926528 -9.780090211064536, 19.1489275999658 -9.789977908034297)"
,230-21,EN230,0.0,91.53,91.53,Caculo,Mona Quimbundo,Primary,LUNDA SUL,7.9,2,Paved,Good,1184,Paved,,"LINESTRING (19.274485039546285 -10.15721835579888, 19.317691656301555 -10.161146243055809, 19.35304252703426 -10.15721836483179, 19.384465526400064 -10.13757895709859, 19.423744278331515 -10.102228021171744, 19.48462634605691 -10.0531294996103, 19.514085410476483 -10.045273738234657, 19.55729203874042 -10.043309801627268, 19.616210171524365 -10.037417984276601, 19.657452866647784 -10.031526165026241, 19.688875874942777 -10.01385069798188, 19.704587379939188 -10.000103111626451, 19.737974325872408 -9.998139173719801, 19.79492853033517 -9.992247355723858, 19.836171232055612 -9.98635553615766, 19.91276482656971 -9.956896426147175, 19.96382722404344 -9.952968548359898, 20.016853563343208 -9.93529308274103, 20.026822000016566 -9.928472565507553)"
,230-23,EN230,0.0,104.7,104.7,Saurimo,Murienge,Primary,LUNDA SUL,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (21.2562141414506 -9.947799795783167, 21.230514075338036 -9.926772453480142, 21.186123051907135 -9.908081481516083, 21.12537744127172 -9.90340873611794, 21.09033189847108 -9.880045022038747, 21.029586294551418 -9.79827202576284, 20.987531646185264 -9.753880970138209, 20.933795150182174 -9.737526368652004, 20.868376808454634 -9.73051725137556, 20.807631206995104 -9.730517247946592, 20.753894715002165 -9.730517244824153, 20.714176439308027 -9.73051724246144, 20.658103581592478 -9.721171754116554, 20.611376202742655 -9.69547166764716, 20.581003406401155 -9.690798923251565, 20.515585077505047 -9.68378980529724, 20.464184963573626 -9.681453430622641, 20.413569212032346 -9.6780168254269)"
,180-12,EN180,0.0,81.1,81.1,LUMBALA-NGUIMBO,NINDA,Primary,MOXICO,5.5,2,Unpaved,Poor,72,Track,25KM Paved - Condition Good,"LINESTRING (21.321720366766197 -14.827044000573137, 21.32734325087442 -14.804552456576024, 21.336714724193637 -14.77268943597363, 21.33671472759633 -14.682723259045733, 21.364829147596446 -14.589008492610656, 21.37982350559684 -14.523408155913382, 21.376074919341423 -14.454059227732646, 21.347960507106688 -14.345350096131932, 21.351709097697345 -14.300367007850648, 21.36482916054578 -14.251635329269483, 21.362954868173194 -14.199155059347829, 21.400440759497478 -14.129806132941098)"
,180-07,EN180,0.0,53.48,53.48,BUCACO,LUENA,Primary,MOXICO,7.9,2,Paved,Good,801,Paved,,"LINESTRING (19.89913162556539 -11.79068544002925, 19.901005920843758 -11.764445305336851, 19.910377387309758 -11.738205171319914, 19.910377390853714 -11.700719264382363, 19.91037739315969 -11.67635342487525, 19.91037739546752 -11.651987585369886, 19.94786325611525 -11.607004500396217, 19.99284628813882 -11.575141483449643, 20.04157790687457 -11.550775648132548, 20.13904115141595 -11.477678137751655, 20.174652723059022 -11.451438005789829)"
,180-04,EN180,0.0,164.9,164.9,SAURIMO,DALA,Primary,LUNDA SUL,7.9,2,Paved,Good,522,Paved,,"LINESTRING (20.208228462537317 -11.064137637084855, 20.204641451460944 -10.995984239547376, 20.204641455352473 -10.94912685597263, 20.21213863200599 -10.900395177650172, 20.236504447685256 -10.846040614617666, 20.24962450276953 -10.812303299469347, 20.247750212318277 -10.778565983164114, 20.223384405962896 -10.718588530329583, 20.18964713898205 -10.606130807185481, 20.185898555617452 -10.572393490746936, 20.16902992342605 -10.506793152473174, 20.170904221416762 -10.448689997061548, 20.187772863668016 -10.394335433524603, 20.242127369482937 -10.328735100844332, 20.25899601096318 -10.291249195330828, 20.287110417729608 -10.178791477059738, 20.307727650119435 -10.088825302296229, 20.332093466053188 -10.03821932992593, 20.356459282999342 -9.978241880839764, 20.375202218782213 -9.938881680063394, 20.40144233260756 -9.837669733620084, 20.41456239238079 -9.749577853621398, 20.413569212032346 -9.6780168254269)"
,180-03,EN180,0.0,147.84,147.84,CAITA,SAURIMO,Primary,LUNDA SUL,7.9,2,Paved,Good,945,Paved,75KM TRACK - Condition Poor,"LINESTRING (20.41356839659532 -9.67801688483561, 20.446424587531943 -9.652114556432432, 20.45954464902711 -9.624000126732618, 20.472664712639013 -9.537782541396217, 20.487659072211827 -9.40658186789599, 20.50640201763044 -9.357850189602766, 20.504527727831363 -9.226649515557988, 20.502653436396532 -9.142306225087523, 20.50452773271214 -9.086077364879147, 20.504527733944773 -9.050465753376692, 20.52701926734554 -9.022351323967234, 20.601991044641327 -8.9792425334454, 20.650722700964277 -8.943630923418294, 20.690082886346858 -8.883653473624552, 20.736940250525823 -8.806807365934683, 20.744437429370635 -8.77681864066745, 20.729443075768593 -8.701846826545516, 20.708825839205257 -8.61562924021488, 20.697580074216035 -8.557526084288444, 20.699454370381098 -8.50129722408208)"
,180-01,EN180,0.0,95.48,95.48,DUNDO,CAMISSOMBO,Primary,LUNDA NORTE,7.9,2,Paved,Good,170,Paved,16KM TRACK - Condition Poor,"LINESTRING (20.700222141651746 -8.193364089758528, 20.705077268353104 -8.012106140076055, 20.731317392762843 -7.939008622480378, 20.740688868317687 -7.824676606916336, 20.727568810577793 -7.7047217047391, 20.72569451778463 -7.646618549120846, 20.733191696726756 -7.605384051819263, 20.768803293592455 -7.52478935308482, 20.813786361923487 -7.48917774274309, 20.85502084180093 -7.451691836936861, 20.86439231491903 -7.429200293070111, 20.86626661005623 -7.404834453680269)"
,100-17,EN100,0.0,64.49,64.49,SUMBE,RIO E VALE,Primary,CUANZA SUL,7.0,2,Paved,Good,806,Paved,,"LINESTRING (13.901803100316389 -11.732299581569125, 13.882523004162962 -11.692255729608572, 13.863242901463556 -11.680390884492242, 13.817267277522474 -11.662593616844708, 13.803919520220758 -11.650728771820226, 13.79057176685031 -11.629965293023336, 13.784639445209622 -11.581022807274316, 13.778707180557523 -11.364489386453778, 13.784639525427572 -11.342242802343229, 13.80095346664264 -11.305165162414575, 13.796504224761396 -11.272536838901097, 13.81430124819126 -11.245840938496007)"
,120-20,EN120,0.0,61.7,61.7,LUCUSSO,QUIBALA,Primary,CUANZA SUL,7.0,2,Paved,Good,1029,Paved,,"LINESTRING (14.941795795405676 -10.724867499788568, 14.93751165921189 -10.708587620394391, 14.93751167025375 -10.673505856938974, 14.912954671908071 -10.608604591100072, 14.872611029840343 -10.52616244130291, 14.82875925600261 -10.427933497482465, 14.805956336985028 -10.3770649372845, 14.784907488534179 -10.336720906349294, 14.777891212333598 -10.305147318325723, 14.76561272572067 -10.26129511237901, 14.7645477798968 -10.229346106396562)"
,240-02,EN240,0.0,80.5,80.5,Gabela,Quibala,Primary,CUANZA SUL,7.9,2,Paved,Good,405,Paved,,"LINESTRING (14.314626288949249 -10.864313721796751, 14.325966286646869 -10.867649054878274, 14.333189006720538 -10.8634807607482, 14.336347911053938 -10.857267317205334, 14.34079718246862 -10.84243626229494, 14.366009694260326 -10.837986948437564, 14.38825603090264 -10.83353763430151, 14.419400908612369 -10.820189688025451, 14.46389360048705 -10.796460004718126, 14.481690676501872 -10.796460006830934, 14.51283555592391 -10.817223487932006, 14.5484297068593 -10.848368708258686, 14.567709880568474 -10.846885605072234, 14.595888600704772 -10.839470080913763, 14.62703350814222 -10.82463902958496, 14.675975508675394 -10.817223508203716, 14.716018972143544 -10.808324880281885, 14.800555204783326 -10.757899304120128, 14.8554296157147 -10.728237201485298, 14.914753306746205 -10.726754104207952, 14.941795795405676 -10.724867499788568)"
,260-06,EN260,0.0,44.43,44.43,Longonjo,Ca la,Primary,HUAMBO,5.5,2,Unpaved,Poor,20,Track,Assumed a maximum of 20 cars for all track roads with no traffic information available.,"LINESTRING (15.232146246281633 -12.887572323504283, 15.242522064776363 -12.89440826340295, 15.262907503066154 -12.89617828604585, 15.27834916783048 -12.901305242070915, 15.291898772022748 -12.906371162672372, 15.31075836033861 -12.908080150012385, 15.326138997108682 -12.909789136871673, 15.341702740250915 -12.90637116998227, 15.351956505004292 -12.894408279342265, 15.355313394821737 -12.88421540744211, 15.365506126884744 -12.870482497093485, 15.370755080870834 -12.858519605766029, 15.374111973149558 -12.843077709814837, 15.382717815954408 -12.825987865298211, 15.396328470274423 -12.814086010556213, 15.403103283061855 -12.802123119575388, 15.420314959117773 -12.802123122414054, 15.433925608123456 -12.812377032152433, 15.444118337412787 -12.819212972163008, 15.45614209726801 -12.825987877315294, 15.46993585633305 -12.825987879625977, 15.49032132609341 -12.824278898497507, 15.498927169266395 -12.822569915391455, 15.514307823820683 -12.825987887166304, 15.533106404520712 -12.827696874975564, 15.546533963228315 -12.829588967361037)"
,100-22,EN100,0.0,47.46,47.46,BENGUELA,DOMBE GRANDE,Primary,BENGUELA,7.0,2,Paved,Good,173,Paved,,"LINESTRING (13.084556020216786 -12.950683016889148, 13.122396392972476 -12.882079441627363, 13.17659361258381 -12.79699636005928, 13.191973916634018 -12.763182858940853, 13.214189921161294 -12.707091512505603, 13.25276276652948 -12.663573407577797, 13.269363742675942 -12.651976715094676, 13.296401366853646 -12.644286270047415, 13.317762930610378 -12.632689576243145)"
,105-03,EN105,0.0,70.1,70.1,CHONGOROI,QUILENGUES,Primary,BENGUELA,9.0,2,Paved,Good,1057,Paved,,"LINESTRING (14.044978573647755 -14.103327238541903, 14.056944880419984 -14.073955013435237, 14.059120572887833 -14.063076411981957, 14.033012271772275 -14.021737732609136, 14.018870276867746 -14.001068393117409, 13.989498443670175 -13.985838356993181, 13.977532143340715 -13.964081157005188, 13.971005071301978 -13.941236095880953, 13.972092919024318 -13.897721691252396, 13.952511702925277 -13.861822311181665, 13.954687395809744 -13.827010787275526, 13.950336015688753 -13.804165725763855, 13.94380894804364 -13.738894120443526, 13.931842666606478 -13.543079303786403)"
,105-01,EN105,0.0,73.09,73.09,NAVEGANTES(CLOSE TO BENGUELA),CATENGUE,Primary,BENGUELA,9.0,2,Paved,Good,1057,Paved,,"LINESTRING (13.722046200792686 -13.029553881733603, 13.709953562456448 -13.013291047472704, 13.635981319430346 -12.962161635732105, 13.59790739985992 -12.930613698919034, 13.580502185001068 -12.918647241211255, 13.553306538803097 -12.918647250685005, 13.52611090249119 -12.918647260553108, 13.495651804368862 -12.90994438928718, 13.423855415321007 -12.868605724457831, 13.369464259603063 -12.83596993659901, 13.359673858249899 -12.82291561639619, 13.354234751572367 -12.80115841126372, 13.349883470150639 -12.772874043412928, 13.330302676368577 -12.741326101078762, 13.317248815765641 -12.723920340788828, 13.313985358046162 -12.698899553550406, 13.317248842707967 -12.646682254250702, 13.317624698685213 -12.63268180409461)"
,100-21,EN100,0.0,29.5,29.5,LOBITO,BENGUELA,Primary,BENGUELA,7.0,2,Paved,Fair,4926,Paved,,"LINESTRING (13.378531517059807 -12.586274988039525, 13.447787664915692 -12.530281148880006, 13.484773713443655 -12.487854585221175, 13.508705877602091 -12.44977946781805, 13.523935443767819 -12.419319375489655, 13.522847631923984 -12.389947147888584)"
