name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Angola,2017-01-22,31,24.1,27.5,35.5,24.1,29.3,22.3,73.9,,0,0,,0,0,,22.3,217.4,1009.1,46.6,9.2,,,,,2017-01-22T06:02:25,2017-01-22T18:34:52,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-23,31,25,27.5,33.7,25,29.3,22.4,74.9,,0,0,,0,0,,22.3,262.3,1010,54.1,10,,,,,2017-01-23T06:02:50,2017-01-23T18:34:57,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-24,31,26,28,35.5,26,30.1,22.6,73.2,,0,0,,0,0,,22.3,234.3,1011.7,58.3,9.5,,,,,2017-01-24T06:03:15,2017-01-24T18:35:02,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-25,31,25,27.9,34.5,25,29.9,22.2,72,,0,0,,0,0,,18.4,235.8,1011.6,42.5,10,,,,,2017-01-25T06:03:40,2017-01-25T18:35:05,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-26,32,25,28,36.8,25,30.1,22.7,74,,0,0,,0,0,,22.3,215.4,1011.9,38.6,9.2,,,,,2017-01-26T06:04:04,2017-01-26T18:35:07,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-27,31,25.9,27.7,35.5,25.9,29.8,22.7,74.7,,0,0,,0,0,,18.4,194.5,1012.6,54,9.5,,,,,2017-01-27T06:04:27,2017-01-27T18:35:09,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-28,31,25,27.5,35.5,25,29.6,22.8,76.5,,0,0,,0,0,,22.3,227.3,1012,51,10,,,,,2017-01-28T06:04:50,2017-01-28T18:35:09,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-29,28.2,23,26,31.5,23,26.7,22.7,82,,0,0,,0,0,,14.8,222.4,1012.7,52.9,8.7,,,,,2017-01-29T06:05:12,2017-01-29T18:35:08,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-30,31,19.2,26.8,34.5,19.2,28.2,21.7,75.1,,0,0,,0,0,,22.3,226,1010.7,35.5,10,,,,,2017-01-30T06:05:33,2017-01-30T18:35:06,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-01-31,29,24,26.4,32,24,27.2,21.7,75.9,,0,0,,0,0,,14.8,232.6,1010.8,40.7,9.7,,,,,2017-01-31T06:05:54,2017-01-31T18:35:04,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-01,29,25,26.5,31.3,25,27.3,21.6,74.8,,0,0,,0,0,,18.4,259.5,1010.4,46,9.8,,,,,2017-02-01T06:06:14,2017-02-01T18:35:00,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-02,30,25,26.8,33.3,25,27.8,21.8,74.9,,0,0,,0,0,,14.8,238.2,1011.9,53.6,10,,,,,2017-02-02T06:06:33,2017-02-02T18:34:55,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-03,30,24,26.4,33.3,24,27.5,22.3,78.7,,0,0,,0,0,,22.3,254.3,1011.1,47.2,9.5,,,,,2017-02-03T06:06:52,2017-02-03T18:34:49,0.23,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-04,30,24,26.8,32.5,24,27.9,21.5,73.6,,0,0,,0,0,,22.3,243.7,1010.4,42.2,10,,,,,2017-02-04T06:07:10,2017-02-04T18:34:43,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-05,30,23,26.6,32.5,23,27.4,20.5,70,,0,0,,0,0,,16.6,221.1,1010.2,39,10,,,,,2017-02-05T06:07:28,2017-02-05T18:34:35,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
Angola,2017-02-06,30,24,26.7,31.9,24,27.3,20.3,69.5,,0,0,,0,0,,29.5,215.7,1009.8,48.2,10,,,,,2017-02-06T06:07:45,2017-02-06T18:34:26,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"FNLU,66160099999"
