name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Tanzania,2017-01-20,33,20.7,26.1,32,20.7,25.9,15.9,56.9,0,0,0,,0,0,,24.1,92.4,1015.1,43.1,18.9,,,,,2017-01-20T06:35:25,2017-01-20T19:00:38,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-21,26.1,19.7,23.1,26.1,19.7,23.1,17.6,71.8,6,100,8.33,rain,0,0,,22.3,88.3,1016,58.8,22.1,,,,,2017-01-21T06:35:49,2017-01-21T19:00:49,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,63862099999
Tanzania,2017-01-22,29.6,22.1,25.7,29,22.1,25.5,16.3,59,0,0,0,,0,0,,18.4,86.8,,45.7,30,,,,,2017-01-22T06:36:12,2017-01-22T19:00:58,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,63862099999
Tanzania,2017-01-23,31,19.2,26.9,29.9,19.2,26.6,13.3,45.4,0,0,0,,0,0,,27.7,92.2,1015.1,21.4,19.7,,,,,2017-01-23T06:36:35,2017-01-23T19:01:06,0.85,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-24,32.1,19,25.2,30.4,19,24.8,13.9,53.7,0,0,0,,0,0,,52.1,90,1016.1,25.5,16.6,,,,,2017-01-24T06:36:57,2017-01-24T19:01:14,0.88,Partially cloudy,Partly cloudy throughout the day.,wind,"63862099999,HTDO"
Tanzania,2017-01-25,32,20,27.3,32,20,27.2,15.1,49.2,0,0,0,,0,0,,27.7,92.9,1015.7,27,18.4,,,,,2017-01-25T06:37:18,2017-01-25T19:01:20,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-26,31.7,21,25.6,30.9,21,25.6,16.6,59.6,0,0,0,,0,0,,25.9,93.2,1017.1,41.2,16.3,,,,,2017-01-26T06:37:39,2017-01-26T19:01:26,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-27,33,21,26,32.3,21,26,16.3,57.8,0,0,0,,0,0,,18.4,102.3,1016.9,38.8,17.9,,,,,2017-01-27T06:37:59,2017-01-27T19:01:30,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-28,29,22.2,26.3,30.3,22.2,26.6,17.7,60,0,0,0,,0,0,,18.4,179.8,1016.2,49.3,19.2,,,,,2017-01-28T06:38:18,2017-01-28T19:01:34,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-01-29,30,20,23.4,30,20,23.5,18.3,74.7,2,100,4.17,rain,0,0,,14.8,127.1,1017,55.9,17.6,,,,,2017-01-29T06:38:37,2017-01-29T19:01:37,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-01-30,29,19.9,23.2,29.9,19.9,23.5,19,79.7,18,100,8.33,rain,0,0,,27.7,244.2,1016.2,64.2,16.8,,,,,2017-01-30T06:38:55,2017-01-30T19:01:38,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-01-31,27,19,22.7,28.3,19,22.9,18.8,79.5,0.2,100,4.17,rain,0,0,,7.6,350,1016.6,64.5,16.6,,,,,2017-01-31T06:39:12,2017-01-31T19:01:39,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-01,28.3,20,24.1,28.5,20,24.2,18.5,72.9,2,100,4.17,rain,0,0,,22.3,237.6,1016,68.6,16.6,,,,,2017-02-01T06:39:29,2017-02-01T19:01:39,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-02,31,20,24.3,31,20,24.4,18.3,72.2,46,100,4.17,rain,0,0,,25.9,93.8,1016.1,42.7,14.9,,,,,2017-02-02T06:39:45,2017-02-02T19:01:38,0.19,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-03,26,20.9,23.2,26,20.9,23.2,18.8,76.8,3,100,4.17,rain,0,0,,18.6,136.9,1016.6,66.4,16.6,,,,,2017-02-03T06:40:00,2017-02-03T19:01:36,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-04,28.1,18.2,23.1,30.2,18.2,23.3,18.4,76,12,100,4.17,rain,0,0,,22.3,330.9,1017.3,62.9,18.5,,,,,2017-02-04T06:40:15,2017-02-04T19:01:33,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-05,27.3,20.6,23.3,28.6,20.6,23.4,17.9,72.4,5,100,4.17,rain,0,0,,11.2,129.8,1016.8,45.8,19,,,,,2017-02-05T06:40:29,2017-02-05T19:01:29,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-06,31,19,24.4,30.9,19,24.4,17,66.7,0,0,0,,0,0,,20.5,100.3,1015.9,34.3,16.9,,,,,2017-02-06T06:40:42,2017-02-06T19:01:24,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-07,32,20,25.6,30.8,20,25.5,16.6,61.2,0,0,0,,0,0,,18.4,87,1014.6,43.6,16.8,,,,,2017-02-07T06:40:54,2017-02-07T19:01:19,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
Tanzania,2017-02-08,31,20.9,25.1,31.9,20.9,25.4,18.4,67.8,2,100,4.17,rain,0,0,,22.3,91.4,1013.7,43.5,18.4,,,,,2017-02-08T06:41:06,2017-02-08T19:01:12,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"63862099999,HTDO"
Tanzania,2017-02-09,31.3,21,25.8,31.5,21,26.1,18.1,64.7,0,0,0,,0,0,,18.4,91.7,1015.1,44.7,14,,,,,2017-02-09T06:41:17,2017-02-09T19:01:04,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"63862099999,HTDO"
